LONGITUDE,LATITUDE,2015,2016,2017,2018,2019
28.51582909,-18.55583,11,1,1,1,1
27.97777939,-18.30444,5,7,2,5,7
28.99527931,-16.91528,565,388,334,103,144
26.31110954,-18.01694,24,12,7,15,15
27.51749992,-19.26056,0,0,0,0,0
29.40833092,-17.06583,63,92,12,10,47
32.48,-17.3735,3470,1295,702,473,610
32.75218964,-17.01956,474,165,841,704,445
31.83955002,-16.65555,221,168,412,223,234
28.79166985,-16.52028,16,12,5,8,9
32.01472092,-17.31306,276,408,201,135,136
29.68778038,-16.81528,794,443,82,87,217
29.6427803,-16.47806,262,336,92,67,106
29.87722015,-17.03111,342,410,89,39,238
28.50133,-17.22925,219,152,399,567,367
30.66832924,-17.8825,48,25,16,6,16
31.38008,-16.8692,180,79,157,98,142
33.03453064,-18.37128,671,597,1176,1170,1878
32.00347137,-18.72456,28,9,29,24,30
32.15468979,-17.40781,1369,268,193,139,125
32.26708,-17.17914,804,957,574,290,90
32.35289001,-17.21972,1040,269,364,396,345
29.83555985,-16.55917,852,973,200,210,386
30.11608,-17.7538,3,5,7,1,1
30.44222,-16.63607,119,69,79,116,285
29.60499954,-17.47306,34,28,17,6,11
28.4580307,-20.91947,3,1,4,1,0
28.399,-20.0654,2,4,2,0,0
29.04724,-19.85475,0,0,0,1,0
32.65636063,-16.90114,92,188,612,93,110
32.38528061,-20.39806,487,398,904,578,911
32.77000046,-20.32139,2613,130,112,25,61
29.58897018,-20.98397,0,0,8,0,0
32.67282867,-17.00811,769,291,788,543,505
32.66936111,-16.98928,238,128,484,405,238
32.3095,-17.2546,1265,399,258,136,99
31.48925018,-17.67219,1001,1210,542,25,24
29.37194061,-18.45028,4,0,2,7,3
31.37047005,-17.82031,154,147,170,123,16
28.90706062,-20.62233,0,0,0,0,0
31.2219696,-18.07236,41,32,64,12,32
31.6699,-18.1544,61,32,46,13,17
32.02027893,-17.62114,382,248,151,66,139
30.42000008,-17.73944,16,4,5,8,11
30.9285,-17.8323,135,80,98,85,56
30.39472008,-17.37639,33,36,11,6,34
29.03027916,-17.9075,16,8,2,5,19
29.82374954,-18.93572,15,33,39,15,19
27.3283,-19.94806,0,1,0,0,1
27.5874,-20,0,3,1,0,2
30.18531036,-19.33514,0,1,0,1,7
30.90024948,-18.06819,9,5,4,0,4
31.15356064,-19.18906,0,0,1,0,2
29.46661,-16.75765,148,134,69,41,120
32.28185,-18.87699,91,38,101,61,68
29.96793,-18.02337,12,10,8,5,5
29.54042053,-19.38747,1,2,1,2,2
27.19194031,-17.94944,10,15,11,21,2
28.41222,-19.26389,4,0,0,1,0
26.62778091,-18.36056,58,25,84,71,51
26.22833061,-18.04444,7,12,10,10,16
30.78166962,-20.8975,101,18,168,117,46
30.01794052,-20.25819,5,1,4,3,5
27.90361023,-18.78333,5,4,9,3,2
27.77194023,-18.93528,7,3,0,6,6
26.96417046,-18.51278,2,2,4,4,1
28.78025,-21.01852,0,0,6,0,0
31.38554,-18.433,8,1,13,4,4
27.86222076,-18.06833,34,32,13,24,26
28.5118,-20.1137,8,2,6,1,3
30.52421951,-19.40619,2,0,1,1,0
29.45083046,-16.59806,74,113,53,49,79
27.0702,-18.5721,2,0,0,4,4
30.0866909,-20.15469,8,1,6,1,2
30.9987,-17.7914,46,47,47,33,36
29.43983078,-19.29136,0,0,0,0,0
29.45292091,-20.93906,1,0,1,0,1
31.1841,-17.8389,156,155,171,96,92
31.1971,-17.8357,34,23,35,13,16
31.16200066,-16.35067,751,922,1220,590,717
31.85560989,-18.15306,356,87,212,85,97
27.75333023,-20.81444,0,0,0,0,0
31.10038948,-19.11844,4,0,0,1,0
30.32361031,-20.05228,1,1,1,1,4
31.65402985,-17.47419,255,73,77,38,54
29.30513954,-19.27042,0,3,0,1,2
32.31187,-17.14878,568,123,262,157,119
27.44333076,-20.15111,0,0,0,3,0
27.50806046,-19.77528,2,4,0,0,0
31.65630913,-19.43503,15,24,36,22,36
31.53878021,-16.92558,636,440,704,393,869
31.65505,-17.06193,623,340,506,355,510
30.51416969,-18.74611,5,2,1,2,0
31.16789,-20.3274,16,10,50,29,22
31.35021973,-19.75803,23,5,25,12,42
28.5084,-20.1369,4,0,2,3,4
28.4951,-20.1222,0,0,0,0,0
32.39283,-21.25018,1254,691,2524,990,1002
30.73527908,-16.38389,437,269,587,378,359
26.95222092,-18.73167,2,2,2,5,2
31.38452911,-19.83931,15,6,16,9,21
28.3468,-19.3774,0,0,0,0,0
29.69067001,-21.50331,27,22,106,47,11
32.62403107,-17.28722,805,283,970,446,529
29.93680954,-22.13792,30,19,91,54,19
31.34011078,-21.45361,137,75,404,176,68
31.40163994,-18.20086,15,11,4,9,11
31.83481026,-19.02697,47,20,64,16,47
29.56883049,-19.38919,0,0,0,1,0
29.93444061,-20.20569,2,1,3,6,0
27.64581,-19.93546,0,1,0,0,0
27.26861,-19.90611,0,1,0,1,0
30.5491,-21.90371,36,21,163,92,40
32.38877869,-18.61997,105,58,241,136,80
31.06069946,-17.02938,30,102,18,9,26
32.47161102,-17.26753,3896,799,1449,1324,676
31.27318954,-17.54042,90,133,86,36,44
29.99906,-19.67596,2,2,7,8,5
30.23636055,-20.98544,22,3,6,2,8
28.75638962,-20.96919,1,2,2,2,1
31.42019081,-22.07142,501,198,2064,593,248
29.12324905,-19.00353,0,1,1,0,0
28.28471947,-21.47833,0,0,0,0,1
32.63513947,-19.28447,296,146,160,76,89
